app,component,kind,baseline_params,emitted_params
ActivityCommunication8.apk,edu.mit.icc_pass_action_string_through_api.OutFlowActivity,Activity,4,1
ActivityCommunication8.apk,edu.mit.icc_pass_action_string_through_api.IsolateActivity,Activity,4,1
BroadcastTaintAndLeak1.apk,edu.mit.icc_broadcast_programmatic_intentfilter.BroadcastTest,Activity,4,1
BroadcastTaintAndLeak1.apk,edu.mit.icc_broadcast_programmatic_intentfilter.BroadcastTest$1,Receiver,2,2
ComponentNotInManifest1.apk,edu.mit.icc_component_not_in_manifest.InFlowActivity,Activity,4,1
ComponentNotInManifest1.apk,edu.mit.icc_component_not_in_manifest.IsolateActivity,Activity,4,1
ComponentNotInManifest1.apk,edu.mit.icc_component_not_in_manifest.InFlowInterceptorActivity,Activity,4,1
ComponentNotInManifest1.apk,edu.mit.icc_component_not_in_manifest.OutFlowActivity,Activity,4,1
EventOrdering1.apk,edu.mit.icc_event_ordering.InFlowActivity,Activity,4,1
EventOrdering1.apk,edu.mit.icc_event_ordering.IsolateActivity,Activity,4,1
EventOrdering1.apk,edu.mit.icc_event_ordering.OutFlowActivity,Activity,4,1
IntentSink1.apk,de.ecspride.IntentSink1,Activity,4,1
IntentSink2.apk,de.ecspride.IntentSink2,Activity,4,1
IntentSource1.apk,lu.uni.snt.serval.IntentSource1,Activity,4,1
ServiceCommunication1.apk,edu.mit.icc_service_messages.MessengerService,Service,8,2
ServiceCommunication1.apk,edu.mit.icc_service_messages.ActivityMessenger,Activity,4,1
SharedPreferences1.apk,edu.mit.shared_preferences.MainActivity,Activity,4,1
SharedPreferences1.apk,edu.mit.shared_preferences.AnotherActivity,Activity,4,1
Singletons1.apk,edu.mit.to_components_share_memory.MainActivity,Activity,4,1
Singletons1.apk,edu.mit.to_components_share_memory.AnotherActivity,Activity,4,1
UnresolvableIntent1.apk,edu.mit.icc_unresolvable_intent.InFlowActivity2,Activity,4,1
UnresolvableIntent1.apk,edu.mit.icc_unresolvable_intent.OutFlowActivity,Activity,4,1
UnresolvableIntent1.apk,edu.mit.icc_unresolvable_intent.InFlowActivity,Activity,4,1
ActivityEventSequence1.apk,edu.uta.ActivityEventSequence1,Activity,4,1
ActivityEventSequence2.apk,edu.uta.ActivityEventSequence2,Activity,4,1
ActivityEventSequence3.apk,edu.uta.ActivityEventSequence3,Activity,4,1
ActivityLifecycle1.apk,de.ecspride.ActivityLifecycle1,Activity,4,1
ActivityLifecycle2.apk,de.ecspride.GeneralActivity,Activity,4,1
ActivityLifecycle2.apk,de.ecspride.MainActivity,Activity,4,1
ActivityLifecycle3.apk,de.ecspride.MainActivity,Activity,4,1
ActivityLifecycle4.apk,de.ecspride.MainActivity,Activity,4,1
ActivitySavedState1.apk,edu.mit.activity_saved_state.MainActivity,Activity,4,1
ApplicationLifecycle1.apk,de.ecspride.MainActivity,Activity,4,1
ApplicationLifecycle2.apk,de.ecspride.MainActivity,Activity,4,1
ApplicationLifecycle3.apk,de.ecspride.ContentProvider,Provider,0,0
ApplicationLifecycle3.apk,de.ecspride.MainActivity,Activity,4,1
AsynchronousEventOrdering1.apk,edu.mit.activity_asynchronous_event_ordering.MainActivity,Activity,4,1
BroadcastReceiverLifecycle1.apk,de.ecspride.TestReceiver,Receiver,2,2
BroadcastReceiverLifecycle2.apk,de.ecspride.MainActivity,Activity,4,1
BroadcastReceiverLifecycle2.apk,de.ecspride.MainActivity$MyReceiver,Receiver,2,2
BroadcastReceiverLifecycle3.apk,de.ecspride.MainActivity,Activity,4,1
BroadcastReceiverLifecycle3.apk,de.ecspride.MainActivity$MyReceiver,Receiver,2,2
EventOrdering1.apk,edu.mit.event_ordering.MainActivity,Activity,4,1
FragmentLifecycle1.apk,de.ecspride.ExampleFragment,Fragment,9,5
FragmentLifecycle1.apk,de.ecspride.MainActivity,Activity,4,1
FragmentLifecycle2.apk,edu.mit.fragments.MainActivity,Activity,4,1
FragmentLifecycle2.apk,edu.mit.fragments.ArticleFragment,Fragment,9,5
FragmentLifecycle2.apk,edu.mit.fragments.HeadlinesFragment,Fragment,9,5
ServiceEventSequence1.apk,edu.uta.MainActivity,Activity,4,1
ServiceEventSequence1.apk,edu.uta.ServiceEventSequence1,Service,8,2
ServiceEventSequence2.apk,edu.uta.MainActivity,Activity,4,1
ServiceEventSequence2.apk,edu.uta.ServiceEventSequence2,Service,8,2
ServiceEventSequence3.apk,edu.uta.MainActivity,Activity,4,1
ServiceEventSequence3.apk,edu.uta.ServiceEventSequence3,Service,8,2
ServiceLifecycle1.apk,de.ecspride.MainService,Service,8,2
ServiceLifecycle2.apk,edu.mit.service_lifecycle.MyService,Service,8,2
ServiceLifecycle2.apk,edu.mit.service_lifecycle.MainActivity,Activity,4,1
SharedPreferenceChanged1.apk,edu.mit.event_context_shared_pref_listener.MainActivity,Activity,4,1
JavaIDFunction.apk,mod.ndk.ActMain,Activity,4,1
NativeIDFunction.apk,mod.ndk.ActMain,Activity,4,1
SinkInNativeCode.apk,mod.ndk.ActMain,Activity,4,1
SinkInNativeLibCode.apk,mod.ndk.ActMain,Activity,4,1
SourceInNativeCode.apk,mod.ndk.ActMain,Activity,4,1
Reflection1.apk,de.ecspride.MainActivity,Activity,4,1
Reflection10-NoFlow.apk,com.example.network_reflection.MainActivity,Activity,4,1
Reflection10.apk,com.example.network_reflection.MainActivity,Activity,4,1
Reflection2.apk,de.ecspride.MainActivity,Activity,4,1
Reflection3.apk,de.ecspride.MainActivity,Activity,4,1
Reflection4.apk,de.ecspride.MainActivity,Activity,4,1
Reflection5.apk,edu.wayne.cs.MainActivity,Activity,4,1
Reflection6.apk,edu.wayne.cs.MainActivity,Activity,4,1
Reflection7.apk,edu.wayne.cs.MainActivity,Activity,4,1
Reflection8.apk,edu.wayne.cs.MainActivity,Activity,4,1
Reflection9.apk,edu.wayne.cs.MainActivity,Activity,4,1
ActivityCommunication2.apk,edu.mit.icc_action_string_operations.IsolateActivity,Activity,4,1
ActivityCommunication2.apk,edu.mit.icc_action_string_operations.InFlowActivity,Activity,4,1
ActivityCommunication2.apk,edu.mit.icc_action_string_operations.OutFlowActivity,Activity,4,1
AllReflection.apk,com.example.sms.MainActivity,Activity,4,1
AllReflection.apk,com.example.sms.Activity2,Activity,4,1
AllReflection.apk,com.example.sms.Ref,Activity,4,1
OnlyIntent.apk,com.example.intentonly.Activity2,Activity,4,1
OnlyIntent.apk,com.example.intentonly.MainActivity,Activity,4,1
OnlyIntentReceive.apk,com.example.sinkintentonly.Activity2,Activity,4,1
OnlyIntentReceive.apk,com.example.sinkintentonly.MainActivity,Activity,4,1
OnlySMS.apk,com.example.sms.Activity2,Activity,4,1
OnlySMS.apk,com.example.sms.MainActivity,Activity,4,1
OnlyTelephony.apk,com.example.onlytelephony.Activity2,Activity,4,1
OnlyTelephony.apk,com.example.onlytelephony.MainActivity,Activity,4,1
OnlyTelephony_Dynamic.apk,com.example.onlytelephony.Activity2,Activity,4,1
OnlyTelephony_Dynamic.apk,com.example.onlytelephony.MainActivity,Activity,4,1
OnlyTelephony_Reverse.apk,com.example.onlytelephony.Activity2,Activity,4,1
OnlyTelephony_Reverse.apk,com.example.onlytelephony.MainActivity,Activity,4,1
OnlyTelephony_Substring.apk,com.example.onlytelephony.Activity2,Activity,4,1
OnlyTelephony_Substring.apk,com.example.onlytelephony.MainActivity,Activity,4,1
SharedPreferences1.apk,edu.mit.shared_preferences.MainActivity,Activity,4,1
SharedPreferences1.apk,edu.mit.shared_preferences.AnotherActivity,Activity,4,1
AsyncTask1.apk,de.ecspride.MainActivity,Activity,4,1
Executor1.apk,de.ecspride.MainActivity,Activity,4,1
JavaThread1.apk,de.ecspride.MainActivity,Activity,4,1
JavaThread2.apk,de.ecspride.MainActivity,Activity,4,1
Looper1.apk,de.ecspride.MainActivity,Activity,4,1
TimerTask1.apk,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5
TimerTask1.apk,de.ecspride.MainActivity,Activity,4,1
SimpleUnreachable1.apk,droidbench.sit.fraunhofer.de.simpleunreachable1.MainActivity,Activity,4,1
UnreachableBoth.apk,edu.wayne.cs.MainActivity,Activity,4,1
UnreachableSink1.apk,edu.wayne.cs.MainActivity,Activity,4,1
UnreachableSource1.apk,edu.wayne.cs.MainActivity,Activity,4,1
app.fedilab.openmaps.apk,com.google.android.material.datepicker.MaterialDatePicker,Fragment,9,5
app.fedilab.openmaps.apk,app.fedilab.openmaps.AboutActivity,Activity,4,1
app.fedilab.openmaps.apk,app.fedilab.openmaps.MainActivity,Activity,4,1
app.fedilab.openmaps.apk,com.google.android.material.bottomsheet.BottomSheetDialogFragment,Fragment,9,5
app.fedilab.openmaps.apk,com.google.android.material.datepicker.PickerFragment,Fragment,9,5
app.fedilab.openmaps.apk,com.google.android.material.datepicker.MaterialTextInputPicker,Fragment,9,5
app.fedilab.openmaps.apk,com.google.android.material.datepicker.MaterialCalendar,Fragment,9,5
ch.bailu.aat.apk,ch.bailu.aat.activities.PoiActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.sensor.SensorService$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsOsmApiActivity$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.EditorSource$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.NominatimActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.ActivityContext,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.OverlaySource$OverlayInformation$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.views.BusyViewControlDbSync$3,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.MainActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.sensor.SensorService$3,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsOsmApiActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsFileContentActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.cache.CacheService$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.cache.ObjectBroadcaster$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.tileremover.TileRemoverService$2,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.views.tileremover.TileRemoverView$2,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsDispatcher,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.views.ErrorView$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.map.tile.TileProvider$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.FileContentActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.OverpassActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.sensor.bluetooth_le.WheelCircumference$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.providers.GpxDocumentProvider,Provider,0,0
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsHardwareButtons,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.MapActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.OverlayListActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.AboutActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.IteratorSource$FollowFile$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.OneService,Service,8,2
ch.bailu.aat.apk,ch.bailu.aat.views.tileremover.TileRemoverView$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.tracker.TrackerService$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.PreferencesActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.CockpitTabletActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.views.msg_overlay.AbsBroadcastMsgView$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsKeepScreenOnActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.SensorSource$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.views.BusyViewControlDbSync$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.dem.loader.Dem3TileLoader$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.views.BusyViewControlDbSync$2,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.CurrentLocationSource$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsGpxListActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.directory.IteratorAbstract$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.directory.DirectorySynchronizer$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.NodeDetailActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.sensor.SensorService$2,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.ExternalListActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.providers.GpxProvider,Provider,0,0
ch.bailu.aat.apk,ch.bailu.aat.views.tileremover.TileRemoverView$3,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.CustomFileSource$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.tileremover.TileRemoverService$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.CockpitActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.TrackListActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.services.cache.ObjectBroadcaster$2,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.util.AbsServiceLink,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.views.osm_features.OsmFeaturesView$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.GpxViewActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.AbsBackButton,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.dispatcher.TrackerSource$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.services.AbsService,Service,8,2
ch.bailu.aat.apk,ch.bailu.aat.services.dem.updater.ElevationUpdater$1,Receiver,2,2
ch.bailu.aat.apk,ch.bailu.aat.activities.CockpitSplitActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.activities.GpxEditorActivity,Activity,4,1
ch.bailu.aat.apk,ch.bailu.aat.views.ImageObjectView$2,Receiver,2,2
com.asdoi.quicktiles.apk,f.b.a.o.d,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.RecordVideoTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.ToggleAnimationTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenVolumePanelTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.g,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenAppOneTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.accessibility_tiles.PowerDialogTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenUserDictionaryTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.f,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.KeepScreenOnTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenHomeTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.MakeCallTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.SettingsActivity,Activity,4,1
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.MediaVolumeTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenAppThreeTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.PreviousSongTileService,Service,8,2
com.asdoi.quicktiles.apk,f.e.a.e.a,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.accessibility_tiles.ToggleSplitScreenTileService,Service,8,2
com.asdoi.quicktiles.apk,f.d.a.a.k.r,Fragment,0,0
com.asdoi.quicktiles.apk,f.b.a.o.a,Service,8,2
com.asdoi.quicktiles.apk,com.mikepenz.aboutlibraries.ui.LibsActivity,Activity,4,1
com.asdoi.quicktiles.apk,e.o.e,Fragment,0,0
com.asdoi.quicktiles.apk,e.o.f,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.NewCalendarEventTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.accessibility_tiles.LockScreenTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenDeveloperOptionsTileService,Service,8,2
com.asdoi.quicktiles.apk,e.o.c,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenLocaleTileService,Service,8,2
com.asdoi.quicktiles.apk,f.d.a.a.k.g,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenVpnTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.RotationSwitchTileService,Service,8,2
com.asdoi.quicktiles.apk,e.o.d,Fragment,0,0
com.asdoi.quicktiles.apk,f.c.a.a.q,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.FinishActivitiesTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenCastTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenConnectedDevicesTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.NewAlarmTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.e,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenAboutPhoneTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.TakePhotoTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenAppFourTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.SilenceLoudSwitchTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenAppTwoTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.h,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenNotificationLogTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.c,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.AnimatorDurationTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenFilesTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.DemoModeTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.CounterTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.UsbDebuggingTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenDataUsageTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.NewTimerTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenSettingsSearchTileService,Service,8,2
com.asdoi.quicktiles.apk,e.m.p,Fragment,9,5
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.AdaptiveBrightnessTileService,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.o.b,Service,8,2
com.asdoi.quicktiles.apk,f.b.a.n,Fragment,0,0
com.asdoi.quicktiles.apk,e.h.a.d,Activity,4,1
com.asdoi.quicktiles.apk,e.o.a,Fragment,0,0
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.DoNotDisturbSwitchTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.NextSongTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenPrivacyTileService,Service,8,2
com.asdoi.quicktiles.apk,e.b.a.g,Activity,4,1
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.VibrateCallsTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.BatteryTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.PlayPauseTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.ShowTapsTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.GrayscaleTileService,Service,8,2
com.asdoi.quicktiles.apk,e.b.a.j$f$a,Receiver,2,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.tiles.BrightnessTileService,Service,8,2
com.asdoi.quicktiles.apk,com.asdoi.quicksettings.intent_tiles.OpenCalculatorTileService,Service,8,2
